,sample,A_RelNAAF,D_RelNAAF,E_RelNAAF,F_RelNAAF,G_RelNAAF,H_RelNAAF,K_RelNAAF,I/L_RelNAAF,M_RelNAAF,P_RelNAAF,R_RelNAAF,S_RelNAAF,T_RelNAAF,V_RelNAAF,Y_RelNAAF
0,T0,0.10124616352809215,0.06587025695551024,0.09197917130246173,0.025271434316459482,0.09563521960602113,0.020852887575933978,0.023506007729722833,0.20990792646289003,0.0011676346293618958,0.061141927326521316,0.07524164151303878,0.07680138079110613,0.06517122121919254,0.07712619968930541,0.009080927354382332
1,T2,0.09034061881671385,0.07829148234753666,0.1223055403012251,0.02098212571321784,0.09102424155432776,0.008664930170075571,0.05207880561519439,0.1624870888545337,0.0018819457875620788,0.07070208028296326,0.054211183581808944,0.05061323317053815,0.07349656603978097,0.11235049019844512,0.01056966756607657
2,T5,0.0752927726121043,0.10790210506418743,0.11558037858589845,0.048724226004158946,0.11154994067083587,0.025396575814138848,0.03908020852868171,0.20072381356721516,0.0008853364120502129,0.04270376541603382,0.062457084506569095,0.027978615814432884,0.05964948548739245,0.06102859009469984,0.021047101421601277
3,T12,0.08183145582837656,0.09548863913102625,0.11784338890104103,0.03979129648992861,0.12777702972798985,0.022823400828898086,0.03291062449882642,0.20417090084660272,0.0007198645216627261,0.03986446004637225,0.07524434900797322,0.026821026789034783,0.043742154861542114,0.07527913077225355,0.015692277748471765
