Names,total,elements
324 proteins 331 proteins,42,Thalassiosira_weissflogii_0201834710
,,tr|A0A089VIP5|A0A089VIP5_THAWE
,,tr|A8DP72|A8DP72_THAWE
,,tr|A0A089VQE1|A0A089VQE1_THAWE
,,Thalassiosira_weissflogii_0203229036
,,tr|A0A089VKF1|A0A089VKF1_THAWE
,,Thalassiosira_weissflogii_0203358160
,,Thalassiosira_weissflogii_0201805882
,,Thalassiosira_weissflogii_0203580532
,,Thalassiosira_weissflogii_0203540620
,,Thalassiosira_weissflogii_0171420522
,,Thalassiosira_weissflogii_0203264230
,,Thalassiosira_weissflogii_0203604662
,,tr|A0A089VKI3|A0A089VKI3_THAWE
,,Thalassiosira_weissflogii_0201836064
,,tr|C6FG05|C6FG05_THAWE
,,tr|A0A089VKJ7|A0A089VKJ7_THAWE
,,tr|A0A089VKF6|A0A089VKF6_THAWE
,,Thalassiosira_weissflogii_0171348692
,,Thalassiosira_weissflogii_0203382750
,,Thalassiosira_weissflogii_0203473996
,,Thalassiosira_weissflogii_0203204228
,,Thalassiosira_weissflogii_0203103378
,,Thalassiosira_weissflogii_0203289348
,,Thalassiosira_weissflogii_0203391506
,,Thalassiosira_weissflogii_0203294158
,,Thalassiosira_weissflogii_0203261016
,,tr|A0A089VNZ5|A0A089VNZ5_THAWE
,,Thalassiosira_weissflogii_0203172898
,,tr|A0A089VQA3|A0A089VQA3_THAWE
,,tr|A8DP83|A8DP83_THAWE
,,Thalassiosira_weissflogii_0201860448
,,Thalassiosira_weissflogii_0203627594
,,Thalassiosira_weissflogii_0203319814
,,Thalassiosira_weissflogii_0171383444
,,Thalassiosira_weissflogii_0201855056
,,Thalassiosira_weissflogii_0201773708
,,Thalassiosira_weissflogii_0203217746
,,tr|A0A089X953|A0A089X953_THAWE
,,Thalassiosira_weissflogii_0201860518
,,Thalassiosira_weissflogii_0203261572
324 proteins,150,Thalassiosira_weissflogii_0201806284
,,Thalassiosira_weissflogii_0171353582
,,Thalassiosira_weissflogii_0203627548
,,Thalassiosira_weissflogii_0203333882
,,Thalassiosira_weissflogii_0203386184
,,Thalassiosira_weissflogii_0203350314
,,tr|A0A089VKJ4|A0A089VKJ4_THAWE
,,Thalassiosira_weissflogii_0203514648
,,Thalassiosira_weissflogii_0171446648
,,Thalassiosira_weissflogii_0171421366
,,Thalassiosira_weissflogii_0203350722
,,Thalassiosira_weissflogii_0203470808
,,Thalassiosira_weissflogii_0201834746
,,Thalassiosira_weissflogii_0203516754
,,Thalassiosira_weissflogii_0201769678
,,Thalassiosira_weissflogii_0171421126
,,Thalassiosira_weissflogii_0203137132
,,Thalassiosira_weissflogii_0171384842
,,Thalassiosira_weissflogii_0203596664
,,Thalassiosira_weissflogii_0201744384
,,Thalassiosira_weissflogii_0171380628
,,Thalassiosira_weissflogii_0203602520
,,Thalassiosira_weissflogii_0201862932
,,Thalassiosira_weissflogii_0201800228
,,Thalassiosira_weissflogii_0203321206
,,Thalassiosira_weissflogii_0203627620
,,Thalassiosira_weissflogii_0203474176
,,Thalassiosira_weissflogii_0171353580
,,Thalassiosira_weissflogii_0201861748
,,Thalassiosira_weissflogii_0203537164
,,Thalassiosira_weissflogii_0203135528
,,Thalassiosira_weissflogii_0203383924
,,Thalassiosira_weissflogii_0171369502
,,Thalassiosira_weissflogii_0203326780
,,Thalassiosira_weissflogii_0203203762
,,Thalassiosira_weissflogii_0203239758
,,Thalassiosira_weissflogii_0203213352
,,Thalassiosira_weissflogii_0201862232
,,Thalassiosira_weissflogii_0203355266
,,Thalassiosira_weissflogii_0203170252
,,Thalassiosira_weissflogii_0171423018
,,tr|F2WW93|F2WW93_THAWE
,,Thalassiosira_weissflogii_0171449312
,,Thalassiosira_weissflogii_0203455798
,,Thalassiosira_weissflogii_0203170650
,,Thalassiosira_weissflogii_0203112010
,,Thalassiosira_weissflogii_0201829034
,,Thalassiosira_weissflogii_0203258698
,,Thalassiosira_weissflogii_0203597056
,,Thalassiosira_weissflogii_0201801252
,,Thalassiosira_weissflogii_0171451130
,,Thalassiosira_weissflogii_0171353804
,,Thalassiosira_weissflogii_0171357220
,,Thalassiosira_weissflogii_0203168594
,,Thalassiosira_weissflogii_0203305774
,,Thalassiosira_weissflogii_0203175358
,,Thalassiosira_weissflogii_0203078476
,,Thalassiosira_weissflogii_0171418338
,,Thalassiosira_weissflogii_0203307680
,,Thalassiosira_weissflogii_0203239290
,,Thalassiosira_weissflogii_0203168574
,,Thalassiosira_weissflogii_0203505796
,,Thalassiosira_weissflogii_0203106098
,,Thalassiosira_weissflogii_0171329028
,,Thalassiosira_weissflogii_0203573276
,,Thalassiosira_weissflogii_0201773748
,,Thalassiosira_weissflogii_0203627540
,,Thalassiosira_weissflogii_0203397068
,,Thalassiosira_weissflogii_0203172154
,,Thalassiosira_weissflogii_0203319442
,,Thalassiosira_weissflogii_0203566136
,,tr|H9BE90|H9BE90_THAWE
,,tr|A0A089VKD8|A0A089VKD8_THAWE
,,tr|Q6V8K7|Q6V8K7_THAWE
,,Thalassiosira_weissflogii_0203215658
,,Thalassiosira_weissflogii_0201768054
,,Thalassiosira_weissflogii_0203138000
,,Thalassiosira_weissflogii_0203399774
,,Thalassiosira_weissflogii_0171334830
,,Thalassiosira_weissflogii_0203104222
,,Thalassiosira_weissflogii_0203183264
,,Thalassiosira_weissflogii_0201829098
,,Thalassiosira_weissflogii_0171415682
,,tr|Q5U9J1|Q5U9J1_THAWE
,,Thalassiosira_weissflogii_0171446960
,,tr|A0A089VIJ5|A0A089VIJ5_THAWE
,,tr|A0A089VP78|A0A089VP78_THAWE
,,Thalassiosira_weissflogii_0203380632
,,Thalassiosira_weissflogii_0171385140
,,Thalassiosira_weissflogii_0203603364
,,Thalassiosira_weissflogii_0171415738
,,tr|A0A089VP53|A0A089VP53_THAWE
,,Thalassiosira_weissflogii_0201760982
,,Thalassiosira_weissflogii_0203086342
,,Thalassiosira_weissflogii_0201833818
,,Thalassiosira_weissflogii_0203350330
,,Thalassiosira_weissflogii_0201801470
,,Thalassiosira_weissflogii_0203505014
,,Thalassiosira_weissflogii_0203228638
,,Thalassiosira_weissflogii_0171431286
,,Thalassiosira_weissflogii_0203449802
,,Thalassiosira_weissflogii_0203486780
,,Thalassiosira_weissflogii_0203386012
,,Thalassiosira_weissflogii_0203593312
,,Thalassiosira_weissflogii_0203443172
,,Thalassiosira_weissflogii_0203596686
,,Thalassiosira_weissflogii_0203535604
,,Thalassiosira_weissflogii_0203613400
,,Thalassiosira_weissflogii_0203443356
,,Thalassiosira_weissflogii_0171354090
,,Thalassiosira_weissflogii_0203138818
,,Thalassiosira_weissflogii_0203399266
,,Thalassiosira_weissflogii_0203609740
,,tr|A0A089VPE6|A0A089VPE6_THAWE
,,Thalassiosira_weissflogii_0203244274
,,Thalassiosira_weissflogii_0171353608
,,Thalassiosira_weissflogii_0201831700
,,Thalassiosira_weissflogii_0203291990
,,Thalassiosira_weissflogii_0203198652
,,Thalassiosira_weissflogii_0201742992
,,Thalassiosira_weissflogii_0201768070
,,Thalassiosira_weissflogii_0203260116
,,tr|A0A089VQJ6|A0A089VQJ6_THAWE
,,Thalassiosira_weissflogii_0203216890
,,Thalassiosira_weissflogii_0171371102
,,Thalassiosira_weissflogii_0171446742
